ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_uT,my_uT,mz_uT
-0.382813,-0.191406,9.382813,-0.001953,-0.001953,0.003906,-20.75,-47.25,-11.875
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-20.75,-47.25,-11.875
-0.382813,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-20.75,-47.25,-11.875
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-46.875,-12.688
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-46.875,-12.688
-0.382813,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-46.875,-12.688
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-46.875,-12.688
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-45.5,-12.313
-0.34375,-0.191406,9.382813,-0.001953,-0.001953,0.003906,-19.687,-45.5,-12.313
-0.382813,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-45.5,-12.313
-0.34375,-0.152344,9.421875,-0.001953,-0.001953,0.003906,-19.687,-45.5,-12.313
-0.34375,-0.152344,9.421875,-0.001953,-0.001953,0.003906,-19.687,-48.0,-12.313
-0.382813,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-48.0,-12.313
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-48.0,-12.313
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-48.0,-12.313
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.687,-46.25,-12.313
-0.382813,-0.191406,9.382813,-0.001953,-0.001953,0.003906,-19.687,-46.25,-12.313
-0.34375,-0.191406,9.425781,-0.001953,-0.001953,0.003906,-19.312,-46.563,-12.313
-0.34375,-0.191406,9.460938,0.0,0.001953,0.0,-19.312,-46.563,-12.313
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-20.062,-45.875,-12.75
-0.382813,-0.191406,9.425781,0.001953,0.001953,0.0,-20.062,-45.875,-12.75
-0.382813,-0.191406,9.460938,0.001953,0.001953,0.0,-20.062,-45.875,-12.75
-0.382813,-0.191406,9.460938,-0.003906,0.001953,0.0,-20.75,-47.0,-11.125
-0.34375,-0.191406,9.425781,-0.003906,0.001953,0.0,-20.75,-47.0,-11.125
-0.382813,-0.191406,9.382813,-0.003906,0.001953,0.0,-20.75,-47.0,-11.125
-0.382813,-0.191406,9.382813,0.0,0.003906,0.0,-20.375,-46.563,-13.125
-0.382813,-0.191406,9.425781,0.0,0.003906,0.0,-20.375,-46.563,-13.125
-0.34375,-0.191406,9.425781,0.0,0.003906,0.0,-20.375,-45.5,-11.938
-0.34375,-0.191406,9.425781,0.0,0.001953,-0.001953,-19.375,-46.625,-11.5
-0.34375,-0.191406,9.460938,0.0,0.001953,-0.001953,-19.375,-46.625,-11.5
-0.382813,-0.191406,9.425781,0.0,0.001953,-0.001953,-19.375,-46.625,-11.5
-0.382813,-0.191406,9.425781,0.0,-0.001953,0.003906,-19.687,-47.0,-11.5
-0.34375,-0.191406,9.425781,0.0,-0.001953,0.003906,-19.687,-47.0,-11.5
-0.34375,-0.191406,9.425781,0.0,-0.001953,0.003906,-19.687,-47.0,-11.5
-0.34375,-0.191406,9.425781,0.0,0.0,0.001953,-19.687,-47.313,-11.125
-0.34375,-0.191406,9.460938,0.0,0.0,0.001953,-19.687,-47.313,-11.125
-0.34375,-0.191406,9.460938,0.0,0.0,0.001953,-20.75,-46.25,-11.5
-0.34375,-0.191406,9.460938,0.0,0.001953,0.0,-19.687,-45.875,-12.313
-0.382813,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-45.875,-12.313
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-45.875,-12.313
-0.34375,-0.191406,9.425781,0.0,0.001953,0.0,-19.687,-45.875,-12.313
