time(s),accel_true_x(m/s^2),accel_true_y(m/s^2),accel_true_z(m/s^2),accel_meas_x(m/s^2),accel_meas_y(m/s^2),accel_meas_z(m/s^2),quat_true_w,quat_true_x,quat_true_y,quat_true_z,quat_meas_w,quat_meas_x,quat_meas_y,quat_meas_z,inclin_true_pitch(rad),inclin_true_roll(rad),inclin_meas_pitch(rad),inclin_meas_roll(rad),euler_true_roll(rad),euler_true_pitch(rad),euler_true_yaw(rad)
0.0925,0.0,0.0,-9.81,0.0051848148039450905,0.004205685502144872,-9.806797010094614,1.0,0.0,0.0,0.0,0.9607474609102202,-0.2361326348815889,0.1454193587672815,0.007674971931937467,0.0,0.0,0.001073453297974559,-0.00023618512217864066,0.0,0.0,0.0
0.095,0.0,0.0,-9.81,0.004989896430579224,0.004281787081431904,-9.804821140099236,1.0,0.0,0.0,0.0,0.9490417016042489,-0.26658549979662055,0.1510612716482377,0.07370557728092926,0.0,0.0,0.0011285800306545886,-0.0002606835879350994,0.0,0.0,0.0
0.0975,0.0,0.0,-9.81,0.004930719975281092,0.006790293755084717,-9.805376721573536,1.0,0.0,0.0,0.0,0.9623171679551359,-0.23403619437441067,0.1346682307477451,0.03220552140273343,0.0,0.0,0.0011197408897347214,-0.0002791446022197157,0.0,0.0,0.0
0.1,0.0,0.0,-9.81,0.0037003434511840645,0.005116007422343583,-9.804836063902965,1.0,0.0,0.0,0.0,0.9410216506682149,-0.26317673043834483,0.21261583037787024,0.0032817986196213684,0.0,0.0,0.0010768147392700806,-0.0002644739903814905,0.0,0.0,0.0
0.10250000000000001,0.0,0.0,-9.81,0.006504763776057993,0.005887925936441459,-9.80467496276338,1.0,0.0,0.0,0.0,0.9298181671892397,-0.2826258139637966,0.23515948432334816,0.01615060924303827,0.0,0.0,0.0010332101767996206,-0.000218988421522851,0.0,0.0,0.0
0.105,0.0,0.0,-9.81,0.006627307502965424,0.0035058258850620043,-9.805847987554046,1.0,0.0,0.0,0.0,0.9332022225026633,-0.28679966659863826,0.2141105791908105,0.03219041835042594,0.0,0.0,0.001071246345164541,-0.000243832050464991,0.0,0.0,0.0
0.1075,0.0,0.0,-9.81,0.0038144201169656965,0.0044461938616856605,-9.806715359595673,1.0,0.0,0.0,0.0,0.9264055751181146,-0.3333524448014213,0.17074538789836338,0.03866355449810611,0.0,0.0,0.001120996030421464,-0.00022110592328821596,0.0,0.0,0.0
0.11,0.0,0.0,-9.81,0.0056525726644005535,0.004643443885514744,-9.80682613900863,1.0,0.0,0.0,0.0,0.9355315202543665,-0.31217037335742936,0.15866444721059741,0.04643302488307782,0.0,0.0,0.0011306636770598024,-0.0002496429289021246,0.0,0.0,0.0
0.1125,0.0,0.0,-9.81,0.003709663421418723,0.00527400579844888,-9.804108525029587,1.0,0.0,0.0,0.0,0.9426671295850949,-0.29236018078263626,0.13845573617126203,0.08206227277998043,0.0,0.0,0.0010736603464339385,-0.0002486602767541384,0.0,0.0,0.0
0.115,0.0,0.0,-9.81,0.007255152259521233,0.008334616122490627,-9.804607240097035,1.0,0.0,0.0,0.0,0.959416574404459,-0.23859995248858004,0.14516640256454935,0.038943741434635325,0.0,0.0,0.0010074755698593258,-0.00032025687286316623,0.0,0.0,0.0
0.11750000000000001,0.0,0.0,-9.81,0.0037403136327224954,0.0023955815275792484,-9.804779903608821,1.0,0.0,0.0,0.0,0.9571406139060074,-0.1894752783634549,0.21634991465206513,0.03425899196950771,0.0,0.0,0.0010265678044725421,-0.0002967019627819331,0.0,0.0,0.0
0.12,0.0,0.0,-9.81,0.003948168330819746,0.00441612450476851,-9.805815437932493,1.0,0.0,0.0,0.0,0.9728101747411348,-0.14219768749601577,0.18279062021450784,0.0027876069492710873,0.0,0.0,0.001116756323786668,-0.0002918970134634339,0.0,0.0,0.0
0.1225,0.0,0.0,-9.81,0.004739289126687914,0.006159658731637057,-9.804910153836117,1.0,0.0,0.0,0.0,0.972088468265676,-0.1524424498395653,0.17831675234879066,-0.002906059803852883,0.0,0.0,0.0010760236491966382,-0.0001764588063974461,0.0,0.0,0.0
0.125,0.0,0.0,-9.81,0.004718286796805463,0.003686035532924019,-9.807066101825917,1.0,0.0,0.0,0.0,0.9780695674519783,-0.10218302396026736,0.18041903944128065,0.01968555423962045,0.0,0.0,0.001077170256320098,-0.0002058700161283857,0.0,0.0,0.0
0.1275,0.0,0.0,-9.81,0.004332615591020689,0.004841697937686836,-9.803014146491716,1.0,0.0,0.0,0.0,0.9798766944724383,-0.1124017684275184,0.16300985887598704,-0.025204999372451506,0.0,0.0,0.0010469400868108436,-0.00025524292636793026,0.0,0.0,0.0
0.13,0.0,0.0,-9.81,0.005058333111773586,0.0060616844044741386,-9.80568267091948,1.0,0.0,0.0,0.0,0.9688903297799473,-0.12680004847951415,0.19942669224053167,-0.07350014276515386,0.0,0.0,0.0010460811557495972,-0.00026223797133467666,0.0,0.0,0.0
0.1325,0.0,0.0,-9.81,0.0035103211869271615,0.003769057570852498,-9.805948591077959,1.0,0.0,0.0,0.0,0.9707997277728861,-0.1439981618253706,0.1880311950718263,-0.03816657735329754,0.0,0.0,0.0011398226254136512,-0.0003349285268567356,0.0,0.0,0.0
0.135,0.0,0.0,-9.81,0.007410208875076188,0.003938227878552897,-9.804108098207202,1.0,0.0,0.0,0.0,0.9770111694734135,-0.09557955202364452,0.18022742124693583,-0.06190153947869041,0.0,0.0,0.0011185705630090094,-0.0002320384339620602,0.0,0.0,0.0
0.1375,0.0,0.0,-9.81,0.0038422547113915696,0.006001461436152985,-9.804641912712894,1.0,0.0,0.0,0.0,0.9732345627449486,-0.08739606453760888,0.18724830313552468,-0.10057080468432908,0.0,0.0,0.0010647145752913907,-0.0003202016531920005,0.0,0.0,0.0
0.14,0.0,0.0,-9.81,0.004720637194456427,0.004857022506738594,-9.80586568511752,1.0,0.0,0.0,0.0,0.9588109046992392,-0.07791434158881187,0.2710562182706562,-0.033756939159510675,0.0,0.0,0.0010996008864162022,-0.000272210414407194,0.0,0.0,0.0
0.14250000000000002,0.0,0.0,-9.81,0.005430026981144408,0.0043694844436389015,-9.806537537983953,1.0,0.0,0.0,0.0,0.967516843982895,-0.09172701437144039,0.22861114431669355,-0.05687052081783693,0.0,0.0,0.0011080070921614706,-0.00024334206532776361,0.0,0.0,0.0
0.145,0.0,0.0,-9.81,0.003400867475025808,0.005108135979158934,-9.803236409591205,1.0,0.0,0.0,0.0,0.9748870692458275,-0.049008654641419264,0.20211873916179496,-0.07963271480469364,0.0,0.0,0.0011796931408513363,-0.0002570188723395345,0.0,0.0,0.0
0.1475,0.0,0.0,-9.81,0.005093310129175937,0.004765362690168667,-9.804758582633687,1.0,0.0,0.0,0.0,0.9762761063805105,-0.059439793155896,0.178771728896541,-0.10673586111254241,0.0,0.0,0.0010422339908273794,-0.0002350993906960172,0.0,0.0,0.0
0.15,0.0,0.0,-9.81,0.0064421640499889325,0.005163213204105259,-9.80557866135069,1.0,0.0,0.0,0.0,0.9769381419296685,-0.06485983775443493,0.12068227065236166,-0.16377074781433076,0.0,0.0,0.0011073431936601834,-0.00017331934597135935,0.0,0.0,0.0
0.1525,0.0,0.0,-9.81,0.006207101811740489,0.005409646328069319,-9.80328741519742,1.0,0.0,0.0,0.0,0.9872898359213929,-0.10347773755283111,0.07695471530537203,-0.09289300032578149,0.0,0.0,0.0011395505168087774,-0.00022580051603007556,0.0,0.0,0.0
0.155,0.0,0.0,-9.81,0.005120666932610183,0.003463799949664971,-9.806705323377512,1.0,0.0,0.0,0.0,0.9869575410756898,-0.13113815830254516,0.05793377193254935,-0.07322071851950271,0.0,0.0,0.0011724425544410546,-0.00030672972896378457,0.0,0.0,0.0
0.1575,0.0,0.0,-9.81,0.006848142176236181,0.00693375455336194,-9.805306294114033,1.0,0.0,0.0,0.0,0.9857131940982825,-0.15608982592865897,0.046358580438410055,-0.04308534834323964,0.0,0.0,0.001062326882300363,-0.00029300164383366806,0.0,0.0,0.0
0.16,0.0,0.0,-9.81,0.004453988523022942,0.006625119931969072,-9.806397992767765,1.0,0.0,0.0,0.0,0.9811846452441028,-0.16599511198098932,0.04081388157467547,-0.0897582408831162,0.0,0.0,0.0010754138006589958,-0.0003165693591161529,0.0,0.0,0.0
0.1625,0.0,0.0,-9.81,0.003851906298688992,0.005662195637349005,-9.805559450229605,1.0,0.0,0.0,0.0,0.9769807028346806,-0.17614591932090368,0.04921445033960717,-0.10981465873469515,0.0,0.0,0.0011290806200310653,-0.0002561217942028976,0.0,0.0,0.0
0.165,0.0,0.0,-9.81,0.004898971562870476,0.004712627708436648,-9.804697674756063,1.0,0.0,0.0,0.0,0.9840806190904701,-0.1390811213580002,0.05417223660615015,-0.09647354867219118,0.0,0.0,0.001018812956729467,-0.0002976618373361421,0.0,0.0,0.0
0.1675,0.0,0.0,-9.81,0.006561606150766244,0.005011618435423354,-9.804337084040313,1.0,0.0,0.0,0.0,0.9861756767172049,-0.1391076913642727,0.028731242328570102,-0.08532936522043467,0.0,0.0,0.0011122397408896566,-0.00020060203651720042,0.0,0.0,0.0
0.17,0.0,0.0,-9.81,0.002491947437086486,0.004847658440928251,-9.806087482028135,1.0,0.0,0.0,0.0,0.9915660543489553,-0.06587084808141208,0.08497756307063367,-0.07236439048632087,0.0,0.0,0.001200372779232765,-9.191675904546292e-05,0.0,0.0,0.0
0.17250000000000001,0.0,0.0,-9.81,0.0034704570278813896,0.00387141466412486,-9.805488263289705,1.0,0.0,0.0,0.0,0.9836696424450314,-0.10717489922195986,0.1294907665521702,-0.06434063169225375,0.0,0.0,0.0011175226214098228,-0.00029629833579744336,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,-9.81,0.005983017292353027,0.0033438357712205326,-9.805058946733215,1.0,0.0,0.0,0.0,0.9726473180242952,-0.1639887166105316,0.15766844809313932,-0.046963347841453715,0.0,0.0,0.0009841905120128711,-0.00023046890160210442,0.0,0.0,0.0
0.1775,0.0,0.0,-9.81,0.004335132576966378,0.004519328767935971,-9.803914754039615,1.0,0.0,0.0,0.0,0.9659394814476494,-0.1868972801071261,0.172775213005142,-0.04668030248651453,0.0,0.0,0.0010532586980100504,-0.0002662342962783854,0.0,0.0,0.0
0.18,0.0,0.0,-9.81,0.005538361869353621,0.006479117572460109,-9.805276853184477,1.0,0.0,0.0,0.0,0.9662686548661638,-0.1926660923325271,0.16571322564501303,-0.041758715674376584,0.0,0.0,0.0010637748807703178,-0.00025185803456609254,0.0,0.0,0.0
0.1825,0.0,0.0,-9.81,0.0040858755460635825,0.004641518172531652,-9.804809581276674,1.0,0.0,0.0,0.0,0.9523967901529989,-0.2648943276019342,0.1471958779160578,-0.033237371061871954,0.0,0.0,0.0011516387885890933,-0.00023626319722940575,0.0,0.0,0.0
0.185,0.0,0.0,-9.81,0.005112826842900017,0.0036286752389813274,-9.804988493527024,1.0,0.0,0.0,0.0,0.9570735531743959,-0.27634610781677865,0.08472962864740685,-0.021539093247552755,0.0,0.0,0.0010875180935797839,-0.0002987129446841285,0.0,0.0,0.0
0.1875,0.0,0.0,-9.81,0.005173624744573491,0.007868066942177425,-9.80288595389252,1.0,0.0,0.0,0.0,0.9452362481330869,-0.3068243268762879,0.1069638626352889,-0.030757108809789883,0.0,0.0,0.0010081380002875976,-0.0002699492635672472,0.0,0.0,0.0
